uti,reported_notional,reported_counterparty
UTI000802340D098T5FHRWFBCTL24PS,288255.78,Wrong_Client_394
UTI00093415RLDUN072X0R3SK41ID49,892375.64,Client_236
UTI00103184BXVJBD1NBXO2W9JLV0P2,7555768.73,Client_152
UTI00141661WVLD6XYIXUFEJ5WKNDB9,5465662.66,Client_73
UTI00047658P099MGEW6KKRTXXV0JE7,4226969.53,Client_395
UTI00131772FYHRKB17M0SLWR0CLUMJ,7588533.02,Client_432
UTI00015967DP8RZ1FROEI3BGICYX52,1483176.41,Client_113
UTI001109552BWLL8PLOP3ADSRZFCDN,5297774.77,Client_493
UTI00005365KLXC25DGWBRV52ATSB0Z,2188274.8,Client_66
UTI00065616FLNMFQWPHH2TPPVXWCR7,1251839.04,Client_420
UTI00124484233PVX5LKE9WC1GDGEPA,5271756.17,Unknown_Client
UTI00104877MYHCYUP8124WBIBM69WN,9526862.26,Client_46
UTI001256941S0G5RC4DTFTAAWG7FVH,2470255.07,Client_443
UTI00053012I7FJM776EUMOKQ6SSZPW,8965409.78,Client_214
UTI0011605269Z0XTJ9ZT2D3VGIUP7D,9152592.29,Client_434
UTI001151736EF9PS4MHL4R7Y5HJN2Z,900758.35,Unknown_Client
UTI00036318OILS1NXJA0PX8PQ9T0K9,4906867.52,Client_430
UTI001415335ZGYXW2P6H1YOVM0KAOS,5238118.14,Client_466
UTI00078801Z5NL13XJHGXYQ4V2TLJT,5255897.65,Client_83
UTI00148967PUHLAWLXLC68RIM7JXPV,4653970.6,Client_456
UTI00090707PSPHQQJHXJXI22AJI1T1,4512301.19,Client_148
UTI00047681YO625USPUSVA1T36E26S,6182841.64,Client_128
UTI00102675OG9ZRSLZLDBVLWFBHBTM,1656121.33,Client_158
UTI00108741P3CTBUP6WVN26MQZ7HQM,1563336.2,Client_255
UTI00096595WUHFJHXN9F2CPURGANDK,3988192.73,Client_236
UTI001132777P8RMSQBWR7H4KZSMWIC,3478166.67,Client_67
UTI00105531A3QKRDI4KB3BATQCSB9W,5004415.05,Wrong_Client_287
UTI00117074EZ5HNM1CCHTGJCTPSY24,2525384.91,Client_144
UTI000195033S0C3XMUHOS47DFXDI3A,1070660.69,Client_371
UTI00051377R3S30819K2W2I9CELS3R,7629642.01,Client_311
UTI00084368H56Z8I1WA52RTZ1X3OG8,6478612.57,Client_498
UTI00056179Z80P8RHFVN8DJLJWFWZL,3920595.4,Client_213
UTI00008302OZ3TZIW94DKEGK80Q7XW,1644206.32,Client_486
UTI00016670HNMIQT02WV8Q5NIT9628,1000000.0,Client_313
UTI00093875T6KA9M2PWB5270VWXBYP,5944964.0,Client_179
UTI001011410ARHJHW020H80IIBRQ73,8400309.14,Client_334
UTI001418089GCBRKUMQHAZCC0I47NG,8359777.21,Client_191
UTI00005559ERAVL17JUWYGNM06PEXI,4751514.78,Client_194
UTI00106358U7MNR4O76AQ0D2G0WRES,8689293.67,Client_284
UTI00002637AR3KV83ETJLBV2MX6BWU,2266747.01,Client_7
UTI000694825N1I39E05SDCXLU4F5JI,6026057.12,Client_12
UTI000854586J5WTP987S2MH73PKA6G,8957247.39,Client_171
UTI00123180AWUOD3S9ABUXR9JY80L0,5349112.39,Client_109
UTI00109499CEQPCM1LKVKBVM49EALO,7219509.51,Client_108
UTI00062311MDG7MDR35L1INATEF5BC,1976365.52,Wrong_Client_485
UTI00071206OPK4Z8APZX45DOQXSMFX,2234974.09,Client_306
UTI00148963U5MHDJYPQVC4A71YK7T1,4965189.57,Client_13
UTI0008380259Z7GCQQU2ZPB8787DVZ,9812354.73,Client_458
UTI00030088BVEZYSF3ON8AXD92QPRB,8923449.44,Client_314
UTI0008241223P73WHFPXHH6LLZFZ8A,7872978.88,Client_138
UTI000103679ZENA0XMGUXT8QGN0ESY,8220340.3,Client_205
UTI00061932PBHBVLOBNK1TUH8T3YVE,6666571.66,Client_139
UTI00080252527RADZTIPSBTDVB5EF4,4222711.86,Client_35
UTI00105618MYJL0QY6AI9W9SXZ1MDN,8854274.97,Client_494
UTI00083797L9BS6B8LTVHM6RO9NUPV,2787394.89,Client_59
UTI000722314G8F227OIRZTD0SKBUAO,2642958.57,Client_422
UTI000989704QDKO776UMF6FJIX69YO,3453567.77,Client_2
UTI00147569AVG10ZYLOFPVN6QEU5UX,3024577.31,Client_204
UTI00102950AX4GU65Q8QYJ8JBWEJF2,5296216.89,Unknown_Client
UTI00068341NB41KZRMSCDJEZ27CWO1,1799196.78,Client_42
UTI00079672480W2Y0DUB4NSPT5Q7PM,1000000.0,Client_472
UTI00048485MLXTW9SLN0EB21CZ41VO,8114468.69,Client_241
UTI0004363939AFWP1HEJ2VGZSS2HIF,4876204.87,Client_201
UTI001251246TGA1SU3191JK24JJQSC,8462012.02,Client_217
UTI00040478FAP79I7ITILERH1VLNNA,6919400.85,Client_137
UTI00022515JALG6MDPB89EAMKSJJ8D,5932776.04,Client_324
UTI00015727FMT7M1XQLVUO4LJJNBY4,4123410.41,Client_311
UTI00036296QYRWK2TGF5E6JIT7HKLQ,8072838.58,Client_172
UTI00107915DVNJZM2W11ZSC243BKOW,7328138.31,Client_219
UTI00072709BMTI0H2WH4HK4L64A5J6,6578993.4,Client_38
UTI00142797PGK1KU3GM6ADUJ03874U,9398306.49,Client_167
UTI00114648KLXOENN50C51SAGJYI10,2364888.46,Wrong_Client_107
UTI00082480AAGOZOYOSQOKLOEDHVB3,566579.66,Client_255
UTI000587021J2CU7QSED3IL3F7AFGZ,9840386.17,Client_139
UTI00121909TAKSNRF0LKE967JJ7K9Y,1004513.87,Client_392
UTI00029960GTEIJG66V8ZZ8FHMUFV5,6364162.91,Client_181
UTI001169239O6636KBQ9SOZ7ROQKWR,1000000.0,Client_469
UTI00008228FPULRM5HBAPTKC634BNZ,8263908.6,Unknown_Client
UTI00098487QL7Z5DCIRPLXAH4JHKWA,8371093.67,Client_257
UTI00000494MDDBD3NH0C0IBZBW8P3I,1000000.0,Client_424
UTI000783388O036OO9ME1HDT0II7PK,7931678.12,Client_220
UTI00111588UOO7R2V1FTHJ9DYVA8TI,9855849.25,Client_312
UTI00131190D426S7MU8FEJMXJDUQS7,4573592.14,Client_101
UTI000306706U4YTR3P2LT4UHVQPXO3,8410876.93,Client_397
UTI00030314NE52VNY5V8SW56I4QU4Q,4356477.46,Client_396
UTI00098401WWLGNL76HP5W5QQKBY3C,9639964.76,Client_453
UTI00055951NTKIZ8I797VE2SIK9ZAC,5531655.61,Client_8
UTI00135251CMOBPNIB8UF7ULCX05BL,4569130.91,Client_357
UTI00133589NRDO7D2TP1W4ADMXBD5S,7048140.96,Client_238
UTI00138241NCGF4SZ5Y1V307BHOOKF,5812734.18,Client_275
UTI00144022MH9KCLGTTTQI0UKWKANO,3809365.35,Client_407
UTI00034439ZN5RMV2T4OQSL3TMXUVV,2424157.65,Client_103
UTI00123356C3ZPGSYJ97BF4K0L5DE5,3871192.36,Client_42
UTI00033730E4LHN06EL8S87U7HKJIR,3627377.3,Client_248
UTI00084041VQED9W5UTD3MQGWEWVAH,5838238.09,Client_71
UTI000620392CTBYWOULH94WEUTQFUS,8520349.88,Wrong_Client_173
UTI00025973LT0ZSLA3EM3D8FPF9MYV,9085215.7,Client_296
UTI000223563R5ZAPY09JD2TMBMRM7V,3462968.62,Client_415
UTI00131536CA3TCVR9FU5Z3791RZYQ,8655192.12,Client_136
UTI00012272COHM0C5WLV7ENWVGJBJW,2121586.61,Client_398
UTI00021513WWOSAP65PO8ZKGB76IAG,9817973.77,Unknown_Client
UTI00128653AQSE3YUMKGX0JT3HL0XY,5718402.23,Client_28
UTI00105573EK74AAZ38LXF0Q5M0QB5,1360864.4,Client_204
UTI00003003FU4RCF7WN7LT01O1VYOH,2524432.58,Client_6
UTI00046730RTA4LQ3ZTEEJ8RWXVC05,8291477.13,Client_135
UTI00018072Y3E4GX7BC5CWUXJWQY4F,4180152.89,Client_369
UTI00035078D57VR187KJSA2FU16SCC,1083298.62,Client_171
UTI00042349F4HKY2Y53TNWU70LM38L,1632071.95,Client_362
UTI000128470K4DQVBBM11C9SIKU06V,23876.21,Client_251
UTI00081858HWJ6297BTGPF0KYPAS0Q,8027652.33,Client_85
UTI00100324IAFOIN0QUKGQO31JMKRY,5212663.77,Client_141
UTI00065276CJ0VUKHPSUZ68B9BPNS2,76036.79,Client_375
UTI00056892CJLRWJBQTCSW4YL7Y1SM,9296625.97,Client_458
UTI00072506N6WOD5FV3LL1KU61XGEE,7965540.21,Client_204
UTI00088296H5MVE4G4HBQXFWJOW8MP,3242827.18,Client_453
UTI00038238OJ74OUVXQCUQ1AZY182O,3953177.71,Client_477
UTI00108436RWF599U5QQEK8M8A5QOP,9675846.99,Client_216
UTI00091756NE5BW9QRKL33IZ7MOWH9,2974599.61,Client_62
UTI00122977GDGNQ7A4GN0LMOFKH3Q5,1612010.56,Client_371
UTI001181076QKI347M7GF1MSFEX5W4,9711934.81,Client_160
UTI00106841SMDEP0E4SYOSEQEYQRQW,7582528.87,Client_347
UTI00012015UN4CI4DLLWXAP8G3XFP8,5714102.39,Client_326
UTI00020432IF4VIKEQ5JM52UC81S18,6580483.75,Client_363
UTI00032653I9MMXPPH09BUZWLZMNM7,3663178.11,Client_162
UTI00104937JYOY7J632SI26A51L0W2,2886655.5,Client_375
UTI00034386LVEXUSQEA2ASSW9BXXKC,5401267.01,Unknown_Client
UTI00121424KXHY26NLHKPH3VPNO7S1,7656191.28,Client_121
UTI00095359ET87XU18EI3G7JECQ5QU,129915.69,Client_488
UTI00091314GN16V4075YX3CNSSN4M4,2534253.38,Client_297
UTI00006211Q4E8HEMMG5JDJGKM999E,9918954.94,Client_24
UTI00098717CMAOFPYB203H0FIMEJ65,3314639.85,Client_322
UTI001202823SSLZ4CNXG20PBLRFSHZ,7435432.79,Client_460
UTI00047498V0WLDCUMJ1ZH87XKRQ16,9159195.94,Client_474
UTI00045923AJWZNBAN7X5C11N88IK1,1777597.96,Client_297
UTI00078738H8FKJVIIUSIXUGNV9E1S,1000000.0,Client_357
UTI00131765QP9P7N2MIRS79Q2MJ4KK,8482426.44,Client_231
UTI00135759GNJZSLGVSA80ZI4FYE1U,8510050.16,Client_415
UTI00050379W981SWC48E9VE93U3SXE,3115504.81,Client_137
UTI000129535L9KDCJ2BXFWSLO9G1PG,5459925.57,Client_287
UTI00120132S07XVPKYIWCN2V0KGOSS,4427630.81,Client_217
UTI000236768JSBK4SRN5YIUPGDKG8K,9216251.34,Client_498
UTI000608871UK3ZNER5XV704Y3ICPP,8442016.6,Client_377
UTI00031350DIMITF6447F24LEVYBCQ,5036760.41,Client_142
UTI00072850TFIDZBPN6XAQKFCD0XGF,4201048.07,Client_163
UTI001093096Z8OC8304IU6EBJ1DC6J,4116427.69,Client_242
UTI00000042R5XQT4P501NOUHTCS1K9,462580.49,Client_21
UTI00104163EVLUT8QFMB2V8ATW9H7R,9526934.05,Client_407
UTI00088234DCLADSM58YE1L7VU6BW3,3940529.76,Client_97
UTI00050249N06IMNTZT2OY8QN3KGHK,9624204.23,Client_156
UTI000994408PSR317387QT537J93WZ,9975682.03,Client_430
UTI00136797W27OW4N4VELPO46DN30I,2686760.97,Client_60
UTI00132058LUBPU47JMUKWD6CYRZKF,1000000.0,Client_72
UTI00031090UW50NJWN1AB9166B7CYX,5228371.85,Client_120
UTI0014777386QNKGRB00NU81KLONSP,8916943.89,Client_162
UTI00140334JX2E8Z3H1G0YRQTWOD9U,5129848.55,Client_342
UTI00051405XV4FQ035HIU600EGX0KM,6420775.81,Client_297
UTI000204998HC4KHKVRIYSA123H80B,1000000.0,Client_449
UTI00135381EIC6W0OAZAVL62FMMS28,6743733.73,Client_67
UTI000800894SXGTZ4F4Y1L6C39YZB8,1000000.0,Client_476
UTI00147426X3SOYUS0GBE4VMRNUSY2,4015592.59,Client_106
UTI00080980SAR28HXBSJHGAGVT6R1H,7433570.26,Client_23
UTI00015662E4I85WR5DC0JTA6WGMLX,1434685.61,Client_335
UTI000495693WB3ONZ3LK6DEYRE4YGT,5253709.85,Client_136
UTI000301127Z2EKCOLWY855N6TVPU0,4896499.56,Client_375
UTI001382135L8QJ155E9ZNQONXJS5S,2653999.82,Client_23
UTI00039412QMH5RJDS5SDTWEI1F0EX,1000000.0,Wrong_Client_325
UTI00039463O53HWGUH2H3TSBGPRPNB,5224691.52,Client_209
UTI0014862452XFVUBVYYOTIE1RD860,4383700.42,Client_101
UTI00075739B6A9SWYSYKXF6KZUUP6Y,3121970.86,Client_24
UTI0007053871VB6O3S8S3RD7HOERZU,9270809.63,Client_275
UTI00052633V5KJS635R21JXUU5AA5M,8856590.79,Client_313
UTI00100456Z5EGMML5EZM9P239TIAL,1229222.08,Client_318
UTI0004634514NBIG0FE8SIRZLWT1QE,8552992.13,Client_143
UTI00068816QXEZQOBG9R7E121D62EJ,3941068.63,Client_414
UTI00045491GDE6OC1RXK2GOFTE14HS,9778569.61,Client_333
UTI000497484H282N20X2712MZJFJKX,3912916.47,Client_151
UTI00136430IZEJ4K5YFPR8E9N6PL3L,8504295.89,Client_285
UTI00042508SNPHUDLXKVAYR08JILQI,4223939.03,Client_81
UTI0006832324JUE9XXJRBFPGMVLAD3,2217294.54,Client_51
UTI00112510C4981SEKFH1TZIM710R6,462667.64,Client_485
UTI00091125K71JV4X1YCGTKPAXYYEV,2955043.39,Client_146
UTI00048914W3JV16Q4WKRZJ2EV0ENQ,1000000.0,Client_264
UTI00119293SDIO6XRS9GL0ADR0OK5Y,172094.14,Unknown_Client
UTI00067749OUXW0W1VUYSF3UDE1NEG,6342964.63,Client_448
UTI00084238Z0YQGRTV5QAXNSZX7C47,8553828.28,Client_272
UTI00101172FN4C2EL7TW9VJ3HMT2K2,4889787.09,Client_296
UTI00127779K5VYJRQNLI2BWIX72Q2U,4266015.7,Client_240
UTI00077093YDEIH84F2C6E6JDZTQZW,5979780.91,Client_433
UTI001187595VBFG1JMAJ0KSCSSKHIT,9935116.96,Client_285
UTI00100252KBSO4E67SN84MUV8PA7P,8442143.55,Client_402
UTI00077168DEKMOQCT1X9E86DK040T,7484858.0,Client_341
UTI00041519C4QD9W7L1KA7U8D6ID31,5085237.98,Client_441
UTI001488808NCP6DMINBDDD5QNW4GQ,9888831.08,Client_94
UTI0012080017IB46G8TSX3Y7FF81AW,7588520.18,Client_413
UTI00100087MH633TIQZPWMKZW5QGRM,3469604.14,Client_497
UTI00117018C3QZ0T65JHENMW09UBP1,8181754.49,Client_45
UTI00086138FYICCWI6FPGZJJNAYNDV,2307783.06,Client_132
UTI000294991DMTYN29PD2EA8C5Y8E7,7831144.77,Client_82
UTI00096530O9NR5SVPXY7KYFURMOEC,6173641.0,Client_8
UTI00031672KTODC370LW12PHXT2HGT,5503340.66,Client_174
UTI000368625OO4G146NOCV42HI3QIF,8768318.28,Client_89
UTI000295870SPQSE25RJQ2CM262BRH,481614.76,Client_29
UTI00066783XRYU767H6QRLSSHJ91HT,4660654.83,Client_341
UTI00013139STQU87P4LW8ET249KWQY,9410707.29,Client_284
UTI0012887526M0WPE6VBA7LJ34SGKD,237619.49,Client_116
UTI00061193FHFAJ8665Z2O2NBJSBS3,9055044.0,Client_3
UTI00015725P8ZJ2EJRR0GJZDXAOGLB,8063681.45,Client_65
UTI00130028T4U7PAMK49JB6EO5P23Y,8868399.11,Client_109
UTI00031730M8ATAJBEPW07OZ25MYZM,7960005.68,Client_115
UTI00075300PIZ9OG5GK6AMYRCQIDYC,4112058.63,Client_176
UTI00114811JA0G92CS4KCEKHTPKWX8,2271791.2,Client_478
UTI00142358878VAB0QHVOV4FKPRPHS,7059453.97,Client_294
UTI00048659VUV8QHHYE5HV7QW0D4EH,8821668.79,Client_377
UTI00061399J4YCK2I3UBQMGZOXO617,2941804.58,Client_205
UTI0010295660FTCI9YK76V05QRM7CL,817924.2,Client_346
UTI00045076YLRN8HJN92OBMWTJWSD4,9005535.78,Client_471
UTI0005169403CQTQ2ZDVAC8TIBHZYB,2200471.25,Client_421
UTI001216650FAVAEUG1JSFWVFJC4OR,3398236.5,Client_60
UTI00002047O3T6Z2WA5SUHN15G9LRT,7351938.39,Wrong_Client_120
UTI00063419N8YH07M1E49PRBBDCPVS,5235169.17,Client_95
UTI000993143FLUZWYYL45X9AZD45HY,1409585.59,Client_246
UTI00011551DOZ9AFHWDS17UA20SJWP,480307.31,Client_237
UTI00123292WYFWS3JFS5A93RC3Z900,8583796.84,Client_264
UTI00048108AD6G56OIZXOPYMGESGEY,9003433.85,Client_95
UTI000259779F780YIFWX4B6C1EFERB,7615297.56,Wrong_Client_445
UTI00144098XDWOK1SL02KT6SYHP3YS,7671690.36,Client_126
UTI00055047PD44HY1WJK0B9U16ET9I,1463139.01,Client_384
UTI00071627O4YIUPEH1WUMG70DSQH9,3803630.75,Client_405
UTI00038644U6BFERH1D836J8X3KD04,4121870.38,Client_41
UTI00060158TU03I0OX1BL8WLO140O9,6716206.97,Client_194
UTI00057994V2M7SHKPNJ82DWCHW99F,6782617.59,Client_221
UTI000133471ISXQYSESHVA1GE2YYTS,9024626.08,Client_225
UTI00144473FPM2E9AZ6RRSII2XYLBN,2034443.87,Client_136
UTI00099990FLJFR8PUZYBJJZX9UZLX,1921177.43,Client_166
UTI00054605SPXXYXMU3GX6BUH70111,1596093.57,Client_34
UTI00122601UNO71MZJJ5WE13SN0W64,2966481.66,Client_412
UTI00064731IBFFK6QZIRWC19V8P35V,8832827.41,Client_458
UTI00130389VUG6UMVJHJ4DOY5BXZ8P,4210511.27,Client_216
UTI00091031Y62F7WOVTSMAH9FYZT84,842884.45,Client_374
UTI00030785Y1C7XH3OYXARK0GQJEXP,2069098.59,Client_172
UTI00042414ZHEILUKH445QCL0GWIAL,5525603.56,Client_404
UTI00092505EQNRS81UZTY8NGG6IITV,9497451.41,Client_362
UTI00018955BWXNN5KG9FFH2VT0E0QZ,8264308.08,Client_458
UTI00039013RY9V45SDUPQ5R5BWS8TW,9700579.17,Client_440
UTI00147153IHGVOFTS0C5CYP9Q22R6,1652868.9,Client_361
UTI00055205ARH94E7DVBGEUNPDKI0K,7681906.18,Client_280
UTI0001741916AKCRYPTMCVNOHFY4CC,2288935.35,Client_359
UTI00013894GL1YGVH36KH1W1UAW311,3859500.83,Client_334
UTI00037467L4DV4QBGN10EPL6KDQ1T,7659390.36,Client_385
UTI00075939FNYWWMAE8UGRX6MAWAYY,6419463.84,Client_80
UTI00068450TNO8290PYJG89YNMRHLY,2285371.49,Client_85
UTI00139171X2O728ZERYGBD1IDDCJS,6497202.17,Client_11
UTI00124199ARN1AYF6OCANXPK837DL,352678.43,Client_456
UTI000753571NF90YXS48AK908EWBFE,2651952.36,Client_172
UTI00083371O0ELBY0VDVVPEQ1V44FX,4174043.93,Client_272
UTI000062965J7M3V5R3D4WBGZU9RH9,2891378.1,Client_262
UTI0013047117FIBD9ECGYBZIF74X5K,876433.49,Client_370
UTI00038965YG57775FR643JOQDV82W,1371648.4,Client_292
UTI00013003KFUV12OBO1ZKUJNE9JR0,8930438.83,Client_307
UTI0002241115MFWQFRZ1EHENLW995K,8998376.06,Client_482
UTI000419189OYLQKP5QLOBIOHE0F7U,4740687.96,Client_416
UTI00097332ND3M3322OUMKLUEP4S4K,7792344.59,Client_93
UTI00025588JL1QEHBEDRK4ARCCBTCH,2020330.47,Client_245
UTI001291765X1BRW54DI2JZABHJVAX,3886815.91,Client_8
UTI00055275Z46WNB0C24SD37V2CX9L,6282799.44,Client_361
UTI00004120PE38S999UUYS0BF63M0K,1236898.39,Client_155
UTI00024976XJ4V6SY1HLGU0XX39OQ7,8679192.37,Client_417
UTI00083236TUR0W0HIC964NVRMPX41,9077646.46,Client_261
UTI0012850015HFX3Q9Z75I9ZXT89VT,8451355.71,Client_10
UTI0010363614H19H5XYJYG566JD6JV,753049.45,Client_315
UTI00070819OSR2HS08AGUPO8GHG8ND,3486187.65,Unknown_Client
UTI001048654RYTAX7HT26Q6XWZTMHW,3247792.03,Client_332
UTI00086878SYXOX2QREXF0OJZ20RWE,7068170.27,Client_380
UTI00105321OJ5WRB8I2KRAGKFQQMNL,5829495.01,Client_225
UTI00124533IM0HBSAI0THDZ0QD4CWT,8895054.37,Client_416
UTI00024883UD71VN0XQ36BUD1X6Z5A,2698709.11,Client_283
UTI001195758EJBDSQNZZG20RRPKXOR,1618589.07,Client_350
UTI00148183SE1IQOA9OAXIUD7NQNK7,5696651.06,Client_84
UTI00045906PI9ZXULW7CFWY5PKRGKB,5860829.4,Client_450
UTI000843504229JRG4ES9MRLF522TP,3350677.67,Client_176
UTI00103296THO9P5XDPNMWFNHZOCYK,9434414.48,Client_161
UTI00041058NSWQM6OATO8LX640VEP0,353793.99,Client_427
UTI00014389XNFMJCLFD4DFF8M1IOWF,3282229.88,Client_484
UTI00089248EOK32DBZU8Q3I2600UCQ,608938.44,Client_264
UTI00059211WAO7EJ28SVA6AYTT4DWH,2796429.56,Client_90
UTI00065488MVVB84DYEKQ5TI88FC02,693706.78,Client_196
UTI00048816S0Q700HSJDGS72JQD2XL,5761737.41,Client_358
UTI00012166E6NA3VN0RUFUD62TQ85T,9213264.76,Client_348
UTI00017721BEO3R2QS9O0WQ7GWHCBK,2734881.05,Client_392
UTI00111727TE21UO7LM4NX6AWEF14U,7997099.65,Unknown_Client
UTI00130531IK5KWSTT7RHQ2Q6CMCPI,2936881.35,Client_246
UTI00056018VBSMY0UGUBLUJTV6PI6E,2615756.97,Client_158
UTI0008280453BJUGLMAC2DGZCLDWIH,1000000.0,Client_114
UTI00006875RRONM96L4R1PZ686WYEF,6532810.88,Client_408
UTI00095820L5ND1MVTCP9X151X5DPZ,8725131.82,Client_404
UTI00039683I8XP8Q4D5UOJFS8RA4V5,2898277.93,Client_263
UTI00143775RQJZ2UIT0O6BHK2DAAMO,6461022.01,Client_118
UTI00066249D6ZQ4ZD635ZYKCCBFTTS,8570256.2,Client_415
UTI000091265RJM3RJJWWE7GX11MD1Q,448770.67,Client_72
UTI00108172CMFYS8PDSJPIHWT35EUT,1299913.08,Client_103
UTI00132015HCJWWNHQVSJDJAXU49IG,2648646.79,Client_373
UTI00128678EGU5VNNR3ZY1IQY3UJBR,2122224.96,Client_470
UTI00131000RV8WJT1TZVXWPFEZ5T0X,2895380.93,Client_344
UTI00118954JAE9739CCXCM0ZC1FFDA,3493365.51,Client_29
UTI00143500B47KIREMAZJ97BARR8OV,2990729.41,Client_110
UTI00076601QINZOYOFTQ261KA9WJZZ,5107031.38,Client_154
UTI00109056TWXS3IZDQX2U1IPSDOQB,5045259.18,Client_60
UTI0002546271VB0GUIGXKS57SKOF31,6469612.02,Client_164
UTI00020182XQM67V30VIWJX4C30VP0,2444266.16,Client_216
UTI001347435NWUA1BL98KTKYOX5G0S,7749293.95,Client_408
UTI00149042QE7X7VDSTEXD0232B5IY,410338.12,Client_148
UTI00087324IV3Y1UQK2EURCTBZFP7L,4976684.7,Client_138
UTI001278540WLBEGD7CDEVJDJ1YOBG,7893635.52,Client_210
UTI00035420QNQ0UJ181G7J358OCRE0,7184754.86,Client_476
UTI00041473S0MVU0GAF27J0IVX2KQN,5049373.15,Client_47
UTI00013985ZNRSF1IW9U4AP04MG2CN,5917501.72,Client_51
UTI00014591EIE6DF9C1SRAOYX2AAVU,1892733.71,Client_319
UTI000349629B5LDIL0F5IFOJL4CHK0,8008582.98,Client_435
UTI00021593JB0C5R7JJUHOTM4T7381,6647912.91,Client_441
UTI00115690U49U7YGD068DIE9O0N52,5478845.46,Client_208
UTI00059168J8D9CILIQGO6GVPCKWW6,9372979.58,Client_247
UTI00131312RI6XYUU1VSYQJOU74DCK,2457066.98,Client_395
UTI00094095QC9RR9AIRENMB7LBH54C,1812502.11,Client_433
UTI001056823R5Z32ZQLCT0DPEW9Z4Q,8692271.44,Client_411
UTI00058583R0QHT56IMG51U24LX4QK,4712110.01,Client_359
UTI00116993C3F7CN9SDNCZI7GA6VQ3,961175.14,Client_298
UTI00089660WK84ABI6EIA5UKW6A0O5,4356584.28,Client_391
UTI00068470ZRLHQ8VPPRN1PKJZDW3V,3832990.76,Client_103
UTI00096442QST5TU9F89PAY6SEQ4AD,2153729.1,Client_163
UTI001191630V60YEGJZ380OZBO0CV6,1590833.41,Client_128
UTI00085573J02WL197TM1PC1ZFQ98I,6184564.77,Client_439
UTI00056611SINBN2AJN83KJWK8K0V8,7463265.89,Client_205
UTI00108211IRSCOCQVV7F4BUX1MVNU,2799029.09,Client_82
UTI00074610J17E3LR6IHUGQIPAMMMX,9293055.71,Client_38
UTI000139750HSR2WYVXIMH0AKPC858,3219066.06,Client_354
UTI00042285DSF8QTCZ5568YLFD51G4,5387462.57,Client_44
UTI001244133ZIYO2DZWB1TYL861I7B,934620.97,Client_374
UTI00052385MTAJVM4HB4Q81SDCJW57,5940283.73,Client_338
UTI00109158EXY4FYEZ6MMUOR5PQAIF,3183013.92,Client_128
UTI00029084XULFKA0JK1JXVAAI8ZFI,846812.98,Client_201
UTI00072583V3F4DNZC2Z7CGKUJMHI5,5449048.89,Client_441
UTI00108275AMS5YE8V9OTOQXZUGSSL,4485873.41,Client_265
UTI00088305FNO103MD7J1DPTPQ37HR,1712414.18,Client_430
UTI000621646T8XQPNR3EE393OUZ970,137283.45,Client_314
UTI001317776ES8USDOAXQSQD1RRZXP,5950044.36,Client_299
UTI000303665NLQOLM1G49P7DCAPWUD,7582537.94,Client_163
UTI00000990J69TB386TGO2T7Q0ECDC,6407049.23,Client_114
UTI00089617Q7LX35FDMTK2QDHWGB8W,2891019.12,Client_134
UTI00018181HZD2JGIERQS2R7TND989,9732791.46,Client_94
UTI00011348MDJZ3WM81YDMRUG32K75,4588745.4,Client_427
UTI0009797346Y8SAL0CK7XS4U7VBB7,2646169.53,Client_202
UTI00015234PRG532JHMBMQQMAHDR95,6541798.54,Client_208
UTI000141103HFDQQ3X4QQM54CZZRJM,2977912.94,Client_281
UTI00041549FF7ZFKY09M87ZNODGJXB,9852789.43,Client_13
UTI00126459EUYN3OE00KVKJRWEUGP8,5847265.3,Client_81
UTI00014980MKFDTACOAKW9JZIUFPCB,8658085.6,Client_311
UTI00145430G83T475OD9T8J63LNMBK,472727.56,Client_270
UTI00113312LB5439RYFNOB0VOU9ZAP,6448659.12,Client_87
UTI00087264UMMYR8ZYYYULZ0ZF5V2D,2942112.77,Client_381
UTI00074600A6JXBQPHDKOGSK2ULLS2,8813901.31,Client_428
UTI001297299KG265SS7IGRNDQ6YAXD,3103912.07,Client_463
UTI00040827J89M14M0N25SBAWR4EIG,8609661.78,Client_91
UTI0010030760HKP4UOU4WIXQST7TUI,4804876.27,Client_296
UTI00057368QC514EBUC96XOUE91ONK,735607.12,Client_306
UTI00091554LKYLQEYE2P0MLWP7H3KK,7495934.73,Client_385
UTI000343443P5A9J4BMDN3HXM59D9I,7604334.02,Client_226
UTI00076573S0BK7T5SL1SOUEXWC0W0,7450243.33,Client_434
UTI000478021FAGJ8JNSR0QMRCZVTK3,5975463.92,Client_246
UTI00066861LOUBUVDL03DIXV92POEN,6805904.18,Client_178
UTI00145042ODSK9CEOIKQ2I3SMP926,5225863.74,Client_497
UTI00138315AH26OR2INLJ97MNSBIJN,9488003.06,Wrong_Client_289
UTI000808509I5KDET5EXV0KU9XZHJ3,1000000.0,Client_425
UTI001463172K5NSA661Y2PZ54K87WD,8388523.33,Client_339
UTI00096273PDPXBV9J5XX0SE6BKPTA,7554681.6,Client_37
UTI00141226PGBEMX0CAUYOZMVN09ZR,1404715.44,Client_485
UTI001303123YAPENBTWFIBY4YG36WK,2087525.78,Client_30
UTI00032206Z7WFS7PS4BEJJIM082CA,1000000.0,Client_76
UTI00103736N3EPWH1YZPKV4MZLKPT9,4969384.4,Client_216
